ANO;GRANDE REGIÃO;ESTADO;PRODUTO;VENDAS
1953;Região Norte;Pará;GLP;0
1953;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1953;Região Nordeste;Piauí;GLP;0
1953;Região Sudeste;São Paulo;GLP;21130,43478
1953;Região Nordeste;Alagoas;GLP;0
1953;Região Norte;Amazonas;GLP;0
1953;Região Centro-Oeste;Goiás;GLP;0
1953;Região Nordeste;Sergipe;GLP;0
1953;Região Norte;Acre;GLP;0
1953;Região Centro-Oeste;Distrito Federal;GLP;0
1953;Região Norte;Amapá;GLP;0
1953;Região Sul;Rio Grande do Sul;GLP;713,7681159
1953;Região Nordeste;Pernambuco;GLP;0
1953;Região Nordeste;Bahia;GLP;0
1953;Região Sudeste;Rio de Janeiro;GLP;14644,92754
1953;Região Nordeste;Ceará;GLP;349,6376812
1953;Região Nordeste;Maranhão;GLP;0
1953;Região Norte;Rondônia;GLP;0
1953;Região Norte;Roraima;GLP;0
1953;Região Sudeste;Minas Gerais;GLP;0
1953;Região Nordeste;Paraíba;GLP;0
1953;Região Sul;Paraná;GLP;0
1953;Região Nordeste;Rio Grande do Norte;GLP;0
1953;Região Centro-Oeste;Mato Grosso;GLP;0
1953;Região Sul;Santa Catarina;GLP;0
1953;Região Sudeste;Espírito Santo;GLP;0
1953;Região Norte;Tocantins;GLP;0
1954;Região Nordeste;Paraíba;GLP;0
1954;Região Nordeste;Ceará;GLP;1039,855072
1954;Região Norte;Amazonas;GLP;0
1954;Região Sudeste;Rio de Janeiro;GLP;26527,17391
1954;Região Sul;Rio Grande do Sul;GLP;1346,014493
1954;Região Sudeste;Minas Gerais;GLP;1099,637681
1954;Região Norte;Roraima;GLP;0
1954;Região Norte;Pará;GLP;0
1954;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1954;Região Nordeste;Rio Grande do Norte;GLP;0
1954;Região Centro-Oeste;Goiás;GLP;0
1954;Região Sudeste;Espírito Santo;GLP;0
1954;Região Nordeste;Pernambuco;GLP;373,1884058
1954;Região Nordeste;Bahia;GLP;672,1014493
1954;Região Centro-Oeste;Mato Grosso;GLP;30,79710145
1954;Região Nordeste;Maranhão;GLP;0
1954;Região Nordeste;Sergipe;GLP;0
1954;Região Sul;Santa Catarina;GLP;0
1954;Região Nordeste;Alagoas;GLP;0
1954;Região Nordeste;Piauí;GLP;0
1954;Região Norte;Tocantins;GLP;0
1954;Região Sudeste;São Paulo;GLP;45855,07246
1954;Região Centro-Oeste;Distrito Federal;GLP;0
1954;Região Norte;Rondônia;GLP;0
1954;Região Norte;Amapá;GLP;0
1954;Região Sul;Paraná;GLP;59,7826087
1954;Região Norte;Acre;GLP;0
1955;Região Sudeste;Espírito Santo;GLP;0
1955;Região Nordeste;Sergipe;GLP;94,20289855
1955;Região Norte;Amazonas;GLP;0
1955;Região Centro-Oeste;Goiás;GLP;0
1955;Região Sul;Santa Catarina;GLP;0
1955;Região Nordeste;Alagoas;GLP;23,55072464
1955;Região Sul;Paraná;GLP;557,9710145
1955;Região Nordeste;Paraíba;GLP;0
1955;Região Sudeste;Minas Gerais;GLP;1750
1955;Região Norte;Rondônia;GLP;0
1955;Região Centro-Oeste;Mato Grosso;GLP;0
1955;Região Nordeste;Rio Grande do Norte;GLP;0
1955;Região Norte;Tocantins;GLP;0
1955;Região Nordeste;Maranhão;GLP;36,23188406
1955;Região Norte;Roraima;GLP;222,826087
1955;Região Sudeste;Rio de Janeiro;GLP;39150,36232
1955;Região Nordeste;Piauí;GLP;0
1955;Região Nordeste;Bahia;GLP;3427,536232
1955;Região Centro-Oeste;Distrito Federal;GLP;0
1955;Região Nordeste;Ceará;GLP;1817,028986
1955;Região Nordeste;Pernambuco;GLP;639,4927536
1955;Região Norte;Amapá;GLP;0
1955;Região Centro-Oeste;Mato Grosso do Sul;GLP;0
1955;Região Sul;Rio Grande do Sul;GLP;2385,869565
1955;Região Sudeste;São Paulo;GLP;90483,69565
1955;Região Norte;Acre;GLP;0
1955;Região Norte;Pará;GLP;0
1956;Região Nordeste;Ceará;GLP;3240,942029
